"","I","ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","Start","Stop","C","Event","Xi"
"1",1,1,1,0.936673333169892,0,0.774728468852118,4,2,0.0988202558364719,1.96417800150812,2,0.534377463627607,1,1,0,5,0.273393656359985,0,0.495733507908881,0,0,0.777121669845656,0,0.346,0,0,1.11808729003918
"2",2,1,1,0.936673333169892,0,0.626177933998406,3,2,0.0988202558364719,1.96417800150812,2,0.534377463627607,1,1,0,3,0.0849054595455527,0,0.624393426347524,0,0,0.966240667546042,0.346,1.132,0,0,1.06513862391539
"3",3,1,1,0.936673333169892,1,0.88063472812064,5,2,0.0988202558364719,1.96417800150812,2,0.534377463627607,1,1,0,2,0.967335255583748,0,0.314280099235475,0,0,1.39647835344036,1.132,3.849,0,0,1.16248550089184
"4",4,1,1,0.936673333169892,0,0.743685683934018,2,2,0.0988202558364719,1.96417800150812,2,0.534377463627607,1,1,0,3,0.00851546297781169,0,0.284126235870644,0,1,2.88250487192936,3.849,4.258,0,0,1.01200132129547
"5",5,1,1,0.936673333169892,0,0.542308058822528,4,2,0.0988202558364719,1.96417800150812,2,0.534377463627607,1,1,0,3,0.945560667663813,0,0.990447259275243,0,1,3.1061266907565,4.258,7.236,0,0,1.12068897535584
"6",6,1,1,0.936673333169892,0,0.0309676688630134,3,2,0.0988202558364719,1.96417800150812,2,0.534377463627607,1,1,0,3,0.901855208911002,0,0.91065270989202,0,1,4.73502375654438,7.236,8.011,0,0,1.07149734344574
"7",7,1,1,0.936673333169892,1,0.471560853766277,2,2,0.0988202558364719,1.96417800150812,2,0.534377463627607,1,1,1,1,0.452639813534915,1,0.91569913411513,1,1,5.1592469271964,8.011,17.046,0,0,1.00466195806408
"8",8,1,1,0.936673333169892,0,0.219033252447844,5,2,0.0988202558364719,1.96417800150812,2,0.534377463627607,1,1,1,3,0.88732093735598,1,0.351751480484381,1,1,10.1009883425877,17.046,18.038,0,1,1.18196274610225
"12",9,2,0,0.752111069392413,1,0.883998537436128,1,2,0.0815925842616707,1.0718994399067,4,0.275555388303474,1,1,0,3,0.787907316582277,1,0.413476629881188,0,0,0.272682344773784,0,0.606,0,0,0.940523282892948
"13",10,2,0,0.752111069392413,0,0.492608889238909,1,2,0.0815925842616707,1.0718994399067,4,0.275555388303474,1,1,0,4,0.278050136519596,1,0.683515230659395,0,0,0.497402803261929,0.606,1.474,0,0,0.953701091223025
